date,variant,gross_before,gross_after,scale,projection_reason
2009-01-23,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-26,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-27,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-28,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-29,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-01-30,b2_every_2_no_projection,0.7417649451464927,0.7417649451464927,1.0,held
2009-02-02,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,none
2009-02-03,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-04,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-05,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-06,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-09,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-10,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-11,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-12,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-13,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-17,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-18,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-19,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-20,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-23,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-24,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-25,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-26,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
2009-02-27,b2_every_2_no_projection,0.9635088842458116,0.9635088842458116,1.0,held
